Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured,date,search_str,latitude,longitude
Yes,"Landslide at Bhangtar, Dharmadevi Municipality-6",,nepal_police,Landslide,2022-03-08,Koshi,Sankhuwasabha,Dharmadevi,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-08,"Dharmadevi, Sankhuwasabha, Nepal",27.200500000000034,87.35910000000007
Yes,"Landslide at Phulbari, Sundarbazar Municipality-9",,nepal_police,Landslide,2022-03-08,Gandaki,Lamjung,Sundarbazar,9,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-03-08,"Sundarbazar, Lamjung, Nepal",28.15578000000005,84.36446000000007
Yes,"Landslide at Aasapuri, Banepa Municipality-14",,nepal_police,Landslide,2022-02-26,Bagmati,Kavrepalanchok,Banepa,14,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,2022-02-26,"Banepa, Kavrepalanchok, Nepal",27.632450000000063,85.52192000000008
Yes,"Landslide at chorkhla, Kapurkot Rural Municipality-3",,nepal_police,Landslide,2022-01-26,Karnali,Salyan,Kapurkot,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-01-26,"Kapurkot, Salyan, Nepal",28.24885000000006,82.36148000000009
Yes,"Landslide at gomggang, Aamachhodingmo Rural Municipality-5",,nepal_police,Landslide,2022-01-26,Bagmati,Rasuwa,Aamachhodingmo,5,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-01-26,"Aamachhodingmo, Rasuwa, Nepal",28.176370000000077,85.48227000000009
Yes,"Landslide at Lamidada, Katari Municipality-14",,nepal_police,Landslide,2022-01-22,Koshi,Udayapur,Katari,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-01-22,"Katari, Udayapur, Nepal",27.021750000000058,86.42236000000008
Yes,"Landslide at Linjo, Rubi Valley Rural Municipality-1",,nepal_police,Landslide,2022-01-13,Bagmati,Dhading,Rubi Valley,1,,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,2022-01-13,"Rubi Valley, Dhading, Nepal",28.22589000000005,85.08414000000005
Yes,"Flood at Gara, Bangad Kupinde Municipality-11",,nepal_police,Flood,2021-10-22,Karnali,Salyan,Bangad Kupinde,11,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-22,"Bangad Kupinde, Salyan, Nepal",28.493000000000052,82.06911000000008
Yes,"Flood at Singhiya, Biratnagar Metropolitan City-1",,nepal_police,Flood,2021-10-22,Koshi,Morang,Biratnagar,1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-22,"Biratnagar, Morang, Nepal",26.45505000000003,87.27007000000003
Yes,"Landslide at Bhanu, Phungling Municipality-2",,nepal_police,Landslide,2021-10-21,Koshi,Taplejung,Phungling,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-10-21,"Phungling, Taplejung, Nepal",27.38172000000003,87.71120000000008
